source,id,url,title,abstract,publication_date,year,doi
pubmed,42261622,https://pubmed.ncbi.nlm.nih.gov/42261622/,PFGPred: A stack ensemble classifier for the identification of fusion genes in plants.,"Fusion genes play crucial roles in plant biological processes but remain far less explored than their human counterparts, largely due to limited validated datasets and the absence of plant-specific prediction tools. Existing approaches often produce high false-positive rates, restricting reliable discovery. To address this gap, we developed Plant Fusion Gene Predictor (PFGPred), an ensemble machine learning framework that integrates Random Forest, XGBoost, and long short-term memory (LSTM) models into a meta-classifier for accurate identification of true and false fusion genes from RNA-Seq data. PFGPred was trained on a high-confidence dataset of fusion genes validated by both RNA-Seq and whole-genome sequencing from Arabidopsis thaliana, Oryza sativa, Triticum aestivum, and Zea mays, to predict and rank candidate fusion genes for future functional validation. It outperformed individual baseline models, achieving accuracies of 0.97 on training data and 0.77 on independent test data. When evaluated on human datasets, it achieved 0.71 accuracy with lower sensitivity, reflecting biological differences between plant and human fusion events. Comparative analyses confirmed that PFGPred reliably identifies validated fusions, demonstrating its utility as a cost-effective, plant-specific prediction tool for high-throughput fusion gene screening and functional genomics research. It is freely available as a web server at http://www.nipgr.ac.in/PFGPred.",2026 Jun 09,2026,
pubmed,42261281,https://pubmed.ncbi.nlm.nih.gov/42261281/,Artificial Intelligence for Antimicrobial Resistance Detection and Prediction in <i>Klebsiella pneumoniae</i>: A Systematic Review of Clinical Microbiology Applications.,"<i>Klebsiella pneumoniae</i> is a WHO critical-priority pathogen associated with a substantial antimicrobial resistance (AMR) burden. Conventional microbiology workflows, including antimicrobial susceptibility testing, often require 36-72 hours, prolonging empirical therapy and contributing to antibiotic overuse. Artificial intelligence (AI) has emerged as a promising approach for enhancing the detection and prediction of antimicrobial resistance. We searched four databases (PubMed, EMBASE, MEDLINE, and CENTRAL) from 1 January 2010 to 3 January 2026 for peer-reviewed, original research studies evaluating AI methods for the detection and/or prediction of AMR in <i>K. pneumoniae</i>. Studies without <i>K</i>. pneumoniae-specific extractable outcomes were excluded. Data on study characteristics, input modalities, AI methods, performance, workflow gains, and validation methods were extracted and narratively synthesised. Risk of bias was assessed using PROBAST and QUADAS-2 according to study design. Fifty-seven studies were included, with publication output accelerating sharply in 2024-2025 (27/57, 47.4%). Most studies originated from East Asia and predominantly aimed to classify resistance phenotypes from pre-AST data (37/57, 64.9%) using machine learning approaches. MALDI-TOF mass spectrometry was the most common input modality (27/57, 47.4%), followed by genomic sequencing and vibrational spectroscopy (12/57 each, 21.1%). Random forests were the most frequently studied model family (28/57, 49.1%), with high reported discrimination. Among AUROC/AUC-primary studies, 26/35 (74.3%) reported best-model performance ≥0.90; however, overall risk of bias was high, present in 45/57 studies (78.9%). Internally validated study designs predominated, with external validation reported in only 17/57 studies (29.8%), and prospective, real-world evaluation in 1/57. AI-based AMR prediction and detection in <i>K. pneumoniae</i> is advancing rapidly, with MALDI-TOF-enabled approaches appearing most readily translatable to clinical microbiology workflows. However, the field remains dominated by retrospective, internally validated studies, often using imperfect automated susceptibility systems as reference standards. Progress now depends on rigorous external and prospective multicentre validation using geographically diverse datasets.",2026,2026,
pubmed,42260809,https://pubmed.ncbi.nlm.nih.gov/42260809/,A CT-based radiomics model for noninvasive prediction of MMP9 expression and prognostic evaluation in renal cell carcinoma.,"Renal cell carcinoma (RCC) represents one of the most common malignant tumors of the urinary system, characterized by high heterogeneity and aggressiveness. Studies indicate that matrix metalloproteinase-9 (MMP9) plays a critical role in the invasion, metastasis, and prognosis of RCC, and is recognized as a potential molecular biomarker and therapeutic target. This study aims to develop a radiomics-based prediction model for noninvasive identification of MMP9 expression levels in RCC patients and to assess its clinical relevance in patient prognosis. This retrospective study utilized enhanced computed tomography images and clinical data from The Cancer Genome Atlas database. We manually delineated volumes of interest, extracted radiomic features, and performed standardization procedures. Key features were selected using minimum redundancy maximum relevance and recursive feature elimination algorithms, followed by the construction of a radiomics model for predicting MMP9 expression through the gradient boosting machine algorithm. Survival analysis was performed using Kaplan-Meier curves and Cox proportional hazards regression models. Furthermore, immune cell infiltration analysis and enrichment analysis were employed to explore the underlying biological mechanisms associated with MMP9. MMP9 demonstrated independent prognostic value in RCC patients (hazard ratio = 1.447). The radiomics model incorporating 3 features, constructed using multiple machine learning algorithms, exhibited favorable predictive performance for MMP9 expression levels (area under the curve = 0.865). The radiomics score mapping MMP9 expression levels served as an independent risk predictor for RCC patients (hazard ratio = 2.287, 95% confidence interval = 1.025-5.103, P = .043). Furthermore, MMP9 correlates with pathways such as immune response regulation signals, carbon metabolism, and PI3K-Akt, as well as immune cell infiltration, including M2-type macrophages and regulatory T cells. MMP9 serves as an independent prognostic factor in RCC. The enhanced computed tomography radiomics model composed of 3 features can noninvasively predict MMP9 expression levels in RCC patients.",2026 Jun 05,2026,
pubmed,42260645,https://pubmed.ncbi.nlm.nih.gov/42260645/,Data balancing improves mortality prediction for emergency department patients.,"Accurate patient mortality prediction is crucial in the emergency department (ED) to improve emergency healthcare services. Current prediction models are limited in both accuracy and practicality, particularly in identifying high-risk patients early. Machine Learning is deeply affected by data quality because mortality samples are significantly fewer than survival samples. This study aimed to achieve balanced and better accuracy of patient mortality prediction and evaluate the effectiveness of data balancing methods. This study analyzed 2,437,341 non-traumatic adult ED visit records collected between 2008 and 2016 from five medical centers in Taiwan, including four mortality timeframes: death within 24, 72, and 168 h, and final death, and evaluated three data balancing methods: Random Under Sampling (RUS), Synthesized Minority Oversampling Technique (SMOTE), and Random Over Sampling (ROS). We adopted Random Forest (RF), AdaBoost (ADA), XG Boost (XGB). Logistic Regression (LR) is the meta learner for these models. Besides, we performed feature importance analysis based on RF, ADA, AdaBoost with BootStrap (ADA-BS), and Information Gain (IG). Our model with XGB achieved the best AUROC, 91.41%, which is better than 90.2% in the previous study by Wu et al. using the same dataset in 168-hour mortality timeframe. Our True Positive Rate (TPR) and True Negative Rate (TNR) are 79.88% and 86.73%, which are more balanced than 25% and 100% in the previous study. ROS achieves the better results than RUS and SMOTE and becomes our primary data balancing method. While adopting XGB in 24-hour mortality timeframes, ROS achieved the best AUROC, 93.72%, RUS achieved 93.61% and SMOTE achieved 91.73%. Compared with the previous study by Lin et al., the feature importance analysis shows our balanced dataset has better feature importance impacts, especially for the ""Age"" and ""Triage"" features. Our method achieves better AUROC than the previous study, especially in the long challenging death-hour mortality timeframe with XGB and ROS. Our method achieves balanced TPR and TNR, which are more practical than AUROC. Besides, feature importance analysis shows our balanced dataset has better feature importance impacts.",2026 Jun 08,2026,
pubmed,42260338,https://pubmed.ncbi.nlm.nih.gov/42260338/,Decision tree with randomized grid search-based hyperparameter tuning and optimal feature scaling for diabetes diagnosis.,"Diabetes is a chronic condition that arises when the body cannot effectively regulate blood glucose levels, either due to insufficient insulin production or insulin resistance. If left unmanaged, diabetes can lead to serious complications including heart disease, nerve damage, kidney failure, and blindness. Machine learning classifiers are widely employed to predict diabetes onset based on patient data. This paper presents a robust data-driven machine learning framework for enhancing the classification of diabetes. Unlike previous decision tree models that employed the classic grid search method, we propose a decision tree (DT) model utilizing randomized grid search for the diagnosis of diabetes through two stages (1) applying eight feature scaling methods (StandardScaler, MaxAbsScaler, RobustScaler, PowerTransformer, QuantileTransformer, MinMaxScaler, Normalizer, and KBinsDiscretizer), and then identifying the best one according to different measurements (accuracy, F1-score, and Friedman ranking), and (2) tuning the hyperparameters via randomized grid search with 5-fold cross-validation to identify the best configuration that maximizes classification performance. These hyperparameters include criterion, max_depth, min_samples_split, and min_samples_leaf. The public diabetes datasets PIMA and IPDD are used to evaluate the proposed model. The results of this model are evaluated by accuracy, precision, recall, F1_score, Area Under the Curve (AUC), and Matthews Correlation Coefficient (MCC). The results are 99.5%, 99.52%, 99.5%, 99.51%, 99.8%, and 97.97% on the IPDD dataset and 77.27%, 77.19%, 77.27%, 77.23%, 77.9%, and 70.2% on the PIMA dataset for the six metrics, respectively. Then, these results are compared against different machine learning classifiers, including classic decision tree, K-nearest neighbors, logistic regression, support vector machine, AdaBoost, random forest, gradient boosting, and XGBoost. Furthermore, the p-value is computed to analyze the feature interactions for the clinical relevance. This paper offers a scalable, interpretable, and ethically aligned tool towards improving diabetes diagnosis techniques using machine learning, contributing to early detection of the disease and reduction of associated health risks.",2026 Jun 08,2026,
pubmed,42258573,https://pubmed.ncbi.nlm.nih.gov/42258573/,Supervised Fine-Tuning of Large Language Models With Chain-of-Thought Reasoning for Pediatric Heart Disease Detection in Unstructured Echocardiogram Reports: Algorithm Development and Validation.,"Pediatric heart disease (PHD), including congenital heart defects, is often incompletely captured in electronic health records, particularly when clinical significance must be inferred from unstructured echocardiogram reports. Automated methods capable of extracting clinically meaningful PHD from narrative reports could improve clinical decision support and research applications. The aim of the study is to evaluate the feasibility of using supervised fine-tuning of large language models (LLMs), with and without chain-of-thought (CoT) reasoning, to characterize patients with clinically significant or historical PHD from unstructured echocardiogram reports. We developed a PHD detection algorithm using fine-tuned open-source LLMs, including LLaMA (Meta) and Qwen (Alibaba), to analyze 9749 echocardiogram reports. A subset of 712 reports was adjudicated by 2 pediatric cardiac anesthesiologists, classifying 506 (71.1%) as clinically significant PHD and 206 (28.9%) as not significant. While DeepSeek R1 has shown improved performance with CoT reasoning, its application in medical contexts is underexplored. We incorporated R1-generated CoT into model prompts and fine-tuned backbone LLMs. The fine-tuned Qwen-7B-10k-overthink-CoT achieved the highest accuracy (92.4%), outperforming Qwen-7B-without-CoT (90%), LLaMA-3B-without-CoT (87.9%), Qwen-3B-without-CoT (85.6%), Qwen-3B-10k-overthink-CoT (68.5%), and LLaMA-3B-10k-overthink-CoT (46.2%). In a second dataset, an external validation was performed (n=113; 64 positive, 49 negative), Qwen-7B-10k-overthink-CoT sustained a strong, balanced performance (82.7%), followed by Qwen-7B-without-CoT (88.4%), LLaMA-3B-without-CoT (86.8%), Qwen-3B-without-CoT (84.5%), Qwen-3B-10k-overthink-CoT (58.9%), and LLaMA-3B-10k-overthink-CoT (46.2%). The fine-tuned Qwen-7B model with overthinking CoT (10,000 tokens) achieved the highest internal accuracy (92.4%), with balanced sensitivity and specificity. Across repeated runs, CoT-enhanced models demonstrated improved classification consistency compared to non-CoT models (Qwen-7B-without-CoT: 90%, LLaMA-3B-without-CoT: 87.9%, Qwen-3B-without-CoT: 85.6%). In external validation (n=113), non-CoT variants achieved higher accuracy (up to 88.4%), whereas the Qwen-7B CoT model demonstrated more balanced class performance (accuracy=82.7%). Supervised fine-tuning of LLMs with CoT offers an effective approach for automated PHD detection within unstructured data in the electronic medical record. While CoT-enhanced models demonstrated improved internal performance and more balanced classification, they did not consistently achieve higher accuracy in external validation, highlighting trade-offs between accuracy and class balance. These findings highlight the promise of LLM-based approaches for clinical text phenotyping while underscoring the need for larger, multicenter validation and careful calibration for real-world deployment. Continued validation and integration into the electronic medical record are essential for real-world, artificial intelligence-driven clinical decision support.",2026 Jun 08,2026,
pubmed,42258035,https://pubmed.ncbi.nlm.nih.gov/42258035/,Machine learning-based prediction of immune infiltration patterns in extrahepatic cholangiocarcinoma.,"Immune cell infiltration patterns play important roles in shaping the tumor microenvironment of cholangiocarcinoma. However, efficient approaches for classifying these patterns from transcriptomic data remain limited. This study aimed to develop a machine learning-based framework to predict immune infiltration patterns in extrahepatic cholangiocarcinoma (EHCC). Transcriptomic data from the GSE132305 cohort were analyzed using CIBERSORT to estimate the proportions of 22 immune cell types. K-means clustering was applied to identify distinct immune infiltration patterns, with the optimal number of clusters determined by the silhouette method. Differentially expressed genes (DEGs) between clusters were identified using limma (|log2FC| > 2, adjusted p < 0.05). Functional enrichment analyses, including GO, KEGG, and GSEA, were performed to characterize biological differences between clusters. Hub genes were selected using five feature selection methods. Nine machine learning classifiers were then combined with these feature sets to construct 45 prediction models, which were evaluated using stratified five-fold cross-validation based on AUC, accuracy, sensitivity, and specificity. Two distinct immune infiltration patterns were identified among 182 EHCC samples, with significant differences in immune cell composition between Cluster 1 (n = 92) and Cluster 2 (n = 90). A total of 116 DEGs were identified between the two clusters. Functional enrichment analyses revealed marked differences in immune-related signaling and translational activity. Among the 45 models, the GBM-selected features combined with an SVM classifier achieved the best overall performance, with an AUC of 0.9958 and an accuracy of 96.7%. We developed a transcriptome-based machine learning framework for classifying immune infiltration patterns in EHCC. These findings improve the understanding of immune heterogeneity in EHCC and provide a computational basis for future validation in independent cohorts with clinical annotation.",2026 Jun 08,2026,
pubmed,42255486,https://pubmed.ncbi.nlm.nih.gov/42255486/,Single Cell and Machine Learning-Based Analysis of Lysosome Mediated Cell Death Reveals Novel Prognostic Biomarkers and Therapeutic Targets in Cervical Cancer.,"Cervical cancer is among the most prevalent gynecological malignancies globally, and its inherent molecular heterogeneity remains a persistent obstacle to uniform treatment efficacy and patient survival. Lysosome-mediated cell death (LDCD) has recently emerged as a mechanistically distinct form of regulated cell death with growing relevance in tumor biology, influencing both oncogenic progression and responsiveness to therapy. Nevertheless, its functional significance in cervical cancer and its interactions with the tumor microenvironment (TME) at single-cell resolution remain insufficiently characterized. We conducted an integrative analysis combining single-cell RNA sequencing (scRNA-seq) with 15 machine learning algorithms to examine LDCD-related gene expression patterns in cervical cancer. Multicohort transcriptomic data were obtained from TCGA and GEO databases, and scRNA-seq data were retrieved from the GSE138080 dataset. Core hub genes were identified through differential expression analysis, protein-protein interaction network construction, and consensus clustering. Prognostic models were built using multiple machine learning frameworks and evaluated by concordance index. Immune cell infiltration was quantified via CIBERSORT, and single-cell-level validation was performed with the Seurat pipeline. Six LDCD-associated hub genes-CTSV, FER, GGA2, LAMP3, STAB1, and STAB2-were identified as significant prognostic determinants. Univariate Cox regression demonstrated that CTSV (<i>p</i> = 0.048) and STAB2 (<i>p</i> = 0.017) were independently associated with patient survival. Consensus clustering stratified patients into two molecularly distinct subtypes with markedly different survival trajectories (<i>p</i> < 0.001). CoxBoost, RFSurvival, and Lasso-Cox achieved the highest predictive accuracy, with C-index values exceeding 0.747. Single-cell analysis confirmed differential LDCD gene expression across T cells, fibroblasts, and tumor cell populations. High-risk patients exhibited diminished immune scores, enrichment of immunosuppressive populations including regulatory T cells and M2 macrophages, and inferior clinical outcomes. Our findings establish LDCD as a functionally important mechanism in cervical cancer at single-cell resolution and demonstrate the translational utility of integrating scRNA-seq with machine learning for the discovery of novel prognostic biomarkers and therapeutic targets.",2026,2026,
pubmed,42254657,https://pubmed.ncbi.nlm.nih.gov/42254657/,Integrated transcriptomic identification and validation reveal key autophagy-associated biomarkers in sleep deprivation.,"Sleep deprivation (SD) is harmful to individuals, but its pathogenesis is not clarified. This study seeks to identify SD-linked autophagy genes <i>via</i> integrated transcriptomic and experimental validation approaches. Primary SD transcriptomic datasets (GSE33302 and GSE9442), derived from murine brain tissue, were retrieved from the Gene Expression Omnibus (GEO) database to identify differentially expressed genes (DEGs). Murine gene symbols were subsequently mapped to their human orthologs to enable downstream bioinformatic analyses and integration with the GeneCards database. The converted DEGs were intersected with autophagy-related genes (ARGs) obtained from GeneCards to identify autophagy-associated DEGs, which were then subjected to functional enrichment analyses. Candidate predictor genes were selected using machine learning (ML) algorithms. Their expression was rigorously validated in both internal and external datasets (GSE9441 and GSE3767), encompassing murine brain tissue and human peripheral blood samples, respectively. In parallel, an SD rat model was established by exposing male Sprague-Dawley rats to continuous sleep deprivation for seven consecutive days. Brain tissues from the prefrontal cortex and hippocampus were harvested, and the expression levels of rat orthologs of the candidate genes were quantified using reverse transcription-quantitative polymerase chain reaction (RT-qPCR). The diagnostic performance of the identified genes was evaluated through nomogram construction and receiver operating characteristic (ROC) curve analysis. In addition, the immune landscape associated with SD was inferred using single-sample gene set enrichment analysis (ssGSEA). The cellular distribution and functional roles of the candidate genes were further explored <i>via</i> single-cell RNA sequencing (scRNA-seq; GSE37665) and gene set enrichment analysis (GSEA). Finally, potential therapeutic targets associated with these genes were predicted. Three significantly dysregulated predictor genes: <i>CDKN1A</i>, <i>HSPA5</i>, and <i>NR4A1</i>, were identified, and a diagnostic model incorporating these genes demonstrated strong predictive performance. Bioinformatic analysis of immune cell infiltration indicated a potential association between the three key predictor genes and modifications in the immune microenvironment. Moreover, single-cell transcriptomic profiling revealed that these genes were preferentially and highly expressed in endothelial cells, glial cells, and neurons, respectively, implying distinct functional roles across different cellular subpopulations. <i>CDKN1A, HSPA5,</i> and <i>NR4A1</i> emerge as crucial pathogenic biomarkers and potential therapeutic targets for SD. This study provides novel molecular targets for elucidating the mechanisms underlying SD-induced autophagy modulation, immune response, and neurovascular injury.",2026,2026,
pubmed,42253227,https://pubmed.ncbi.nlm.nih.gov/42253227/,Radiomics signatures based on computed tomography for noninvasive prediction of ICOS expression and prognosis in head and neck squamous cell carcinoma.,"Head and neck squamous cell carcinoma (HNSCC) is highly invasive and heterogeneous, with significant differences in patients prognosis and immunotherapy efficacy. Studies have shown that inducible co-stimulator (ICOS) is a favorable prognostic factor for HNSCC. This study aims to investigate the relationship between ICOS expression and the prognosis of HNSCC patients. Specifically, we aim to explore the potential of radiomic models, developed through radiomic feature extraction and selection, in predicting ICOS expression levels in HNSCC patients. By evaluating the predictive efficacy of these models, we seek to establish a noninvasive method for assessing ICOS expression, which may serve as a valuable prognostic factor in HNSCC and aid in personalized treatment strategies. A number of 483 HNSCC samples were extracted from The Cancer Genome Atlas (TCGA) database to investigate the relevance between ICOS expression and the survival of HNSCC patients. Moreover, 139 intersection cases from TCGA and The Cancer Imaging Archive (TCIA) databases were chosen for the extraction radiomic features and the development of radiomic models. Following the selection of radiomic features by recursive feature elimination (RFE), radiomic models were developed via logistic regression (LR) and support vector machine (SVM). Receiver operating characteristic (ROC) curves, precision-recall (PR) curves, calibration curves, and decision curve analysis (DCA) were applied to evaluate the prediction efficacy of radiomic models. ICOS was markedly relevant to the survival of HNCSS patients, with high expression of ICOS serving as a protective factor for their overall survival (HR = 0.584, 95%CI = 0.439-0.776, P < 0.001). After extraction and selection of radiomic features, LR and SVM radiomic models were developed based on the optimal five features. Furthermore, both radiomic models demonstrated strong predictive effectiveness for ICOS expression, with the SVM radiomic model exhibiting superior predictive performance. Radiomic models can noninvasively predict the expression of ICOS, which influences the prognosis of HNSCC patients.",2026 Jun,2026,
